PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Hunter Henry,NE,TE,5.1,4.3,5.4,13.42,4,5,80,33,0,4.5,4.9,-0.4
Mason Taylor,NYJ,TE,8.9,3.5,5.8,7.76,3,5,60,31,0,5.1,4.9,0.2
Rome Odunze,CHI,WR,8.5,3.1,14.4,43.71,2,6,33.33,31,0,9.2,7.9,1.3
Brian Thomas Jr.,JAX,WR,6.4,2.7,14,18.61,3,7,42.86,31,0,1.1,2.8,-1.7
Jauan Jennings,SF,WR,5.3,2.4,5.9,37.17,4,7,57.14,31,0,2.4,2.6,-0.1
Malik Washington,MIA,WR,5.5,3.2,3.5,14.89,5,8,62.5,30,0,3,5.2,-2.2
Quentin Johnston,LAC,WR,3.2,2.2,12.7,15.8,2,6,33.33,30,1,0.8,1.2,-0.5
Josh Reynolds,NYJ,WR,8.3,1,18,43.53,3,9,33.33,29,0,1.1,1.6,-0.5
Jake Ferguson,DAL,TE,8.1,3.3,1.5,4.96,7,7,100,29,2,2.9,3,-0.2
Elic Ayomanor,TEN,WR,7,2.5,7.8,21.75,2,5,40,29,0,7.1,9.8,-2.7
Jonnu Smith,PIT,TE,5.4,2.5,9.7,19.75,3,6,50,28,1,1.6,1.7,-0.1
Nico Collins,HOU,WR,3.9,2.2,9.6,26.01,4,10,40,27,0,1.8,1.7,0.1
Sterling Shepard,TB,WR,4.2,3.3,3.1,4.62,7,7,100,25,0,0.8,2.5,-1.7
Troy Franklin,DEN,WR,7.7,1.8,17.2,41.69,3,10,30,19,1,-0.2,0.9,-1.1
Tyler Higbee,LAR,TE,3.3,1.9,6.8,11.51,3,6,50,19,0,2.8,4.6,-1.8
Darnell Washington,PIT,TE,5.7,3.4,6.4,10.8,3,5,60,2,1,0.7,5.4,-4.8
