PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
Jayden Higgins,HOU,WR,6.4,1.9,14.4,29.31,4,7,57.14,55,0,2,2.2,-0.3
Jauan Jennings,SF,WR,7.5,2.2,11.2,33.8,4,6,66.67,54,0,1.8,2.9,-1.1
Sterling Shepard,TB,WR,5.1,3.9,10.7,26.65,4,5,80,54,0,0.7,3.3,-2.6
Keenan Allen,LAC,WR,9.9,3.4,8.8,26.02,4,6,66.67,53,0,3.1,3.5,-0.5
Romeo Doubs,GB,WR,6.8,2.4,11.6,29.68,4,8,50,53,0,4.5,5,-0.5
Jaylen Waddle,MIA,WR,9.1,3.1,13.2,73.91,3,7,42.86,52,0,7,2.5,4.5
Dalton Schultz,HOU,TE,3.3,3.4,6.3,16.38,6,9,66.67,51,0,3.7,4.7,-0.9
DK Metcalf,PIT,WR,4.9,4,10.2,68.31,5,8,62.5,49,0,5.2,4.1,1
A.J. Brown,PHI,WR,4.2,1.8,10.5,33.8,7,11,63.64,49,0,1.5,1.8,-0.4
Tre Tucker,LV,WR,8.8,4,9.2,35.83,4,8,50,47,1,6.4,6.2,0.2
Christian Watson,GB,WR,3.9,0.8,16.6,26.62,4,5,80,46,2,0.5,0.3,0.2
Hunter Henry,NE,TE,4.5,1.8,7.4,12.29,4,6,66.67,45,0,6.1,9.7,-3.6
Cole Kmet,CHI,TE,3,5.8,2.7,4.5,5,5,100,45,0,6.3,4.4,1.8
Amon-Ra St. Brown,DET,WR,7.5,2.1,11.9,56.93,2,12,16.67,42,0,9.4,8.9,0.5
Xavier Hutchinson,HOU,WR,5.8,2.5,11.8,17.22,3,5,60,42,0,4.2,4.2,0
Zach Ertz,WAS,TE,5.1,2.1,10.5,39.55,4,8,50,42,0,2.1,4.8,-2.7
Rome Odunze,CHI,WR,6.1,2.1,21.6,42.81,2,6,33.33,41,0,7.2,1.8,5.3
Oronde Gadsden II,LAC,TE,4.5,2.5,11.1,27.38,2,5,40,41,0,6.7,5.4,1.2
Emeka Egbuka,TB,WR,7.4,3.1,5.2,23.08,5,9,55.56,40,0,5.1,5.2,-0.1
T.J. Hockenson,MIN,TE,7.1,3.5,6.3,12.71,3,6,50,39,0,11,12.1,-1.1
Rashee Rice,KC,WR,6.8,2.6,4.4,13.25,6,9,66.67,38,0,6.2,6.4,-0.1
Wan'Dale Robinson,NYG,WR,7.6,1.9,7.5,31.43,4,9,44.44,36,0,1.3,1.2,0.1
Noah Fant,CIN,TE,3.4,6.1,1.8,3.95,5,6,83.33,36,0,5.5,3.8,1.7
Darnell Mooney,ATL,WR,6.7,2.4,14.9,44.47,3,7,42.86,34,0,0.5,2,-1.5
Evan Engram,DEN,TE,6.8,6.6,0.7,1.09,4,5,80,33,0,8.9,11.3,-2.4
Mark Andrews,BAL,TE,3.2,1.8,7.9,20,3,5,60,32,0,4.1,3.1,1
Ja'Marr Chase,CIN,WR,4.7,2.2,11.2,40.12,3,10,30,30,0,5.6,3.3,2.3
Gunnar Helm,TEN,TE,5.9,2.7,4.2,8.14,4,5,80,29,0,3,2.3,0.7
Chris Moore,WAS,WR,5.3,2.1,17.9,41.95,2,5,40,28,0,5.7,2.2,3.5
Cade Otton,TB,TE,3.4,1.5,7.7,19.19,2,5,40,28,0,4.1,2.4,1.7
Luther Burden III,CHI,WR,6.8,3.2,7.2,11.84,3,5,60,27,0,6.1,6.7,-0.5
Rashid Shaheed,SEA,WR,4.7,2.5,16.2,22.31,2,5,40,27,0,0.9,2.3,-1.4
Harold Fannin Jr.,CLE,TE,5.3,1.8,7.3,19.73,2,5,40,26,0,2.4,1.5,0.9
Xavier Worthy,KC,WR,6,3.7,12.5,21.08,3,5,60,25,0,5.7,6.5,-0.8
Dallas Goedert,PHI,TE,4.2,1.9,7.9,11.53,2,5,40,24,0,7.9,4.6,3.2
Jeremy Ruckert,NYJ,TE,7.7,2.6,3.5,8.89,4,5,80,23,0,2.5,2.4,0.1
Cooper Kupp,SEA,WR,3.7,1.4,12.1,23.4,3,7,42.86,23,0,1.3,1.4,-0.1
Van Jefferson,TEN,WR,6.1,1.5,9.2,24.95,3,7,42.86,22,1,0.8,1.2,-0.4
Jerry Jeudy,CLE,WR,6,2.6,7.4,28.03,3,7,42.86,21,0,3.2,1.9,1.3
Jordan Addison,MIN,WR,8.5,2.2,20.9,49.03,2,7,28.57,20,1,-0.3,0.2,-0.5
Josh Palmer,BUF,WR,3,2.7,6.2,9.69,2,5,40,17,0,3.4,3.5,-0.1
Jake Ferguson,DAL,TE,4.8,5.1,-1.5,-3.36,4,5,80,16,1,4,4.6,-0.6
Elic Ayomanor,TEN,WR,4.9,4.3,11.8,27.57,2,6,33.33,11,0,3.9,3.1,0.8
Adonai Mitchell,NYJ,WR,3,2.5,16.2,49.6,1,6,16.67,10,0,3.5,6.4,-2.9
Brock Wright,DET,TE,3.9,3,2.1,5.78,2,7,28.57,8,0,4.8,4.1,0.7
DeVonta Smith,PHI,WR,3.3,1.4,17.9,26.14,1,5,20,8,0,1.3,0.8,0.6
Davante Adams,LAR,WR,2.9,1.8,9.2,50.23,1,8,12.5,1,1,--,--,--
