player,base_prediction,adjusted_base,enhanced_prediction,minimax_adjustment,performance_penalty,volume_consistency,absence_penalty,total_adjustment,prob_lt5,prob_5_10,prob_10_15,prob_15_20,prob_20_25,prob_25_30,prob_30plus,prob_ge8,prob_ge10,prob_ge12,prob_ge15,prob_ge18,prob_ge20,prob_ge25,prob_ge30,p10,p25,p50,p75,p90,mean,std,latest_week
A.J. Brown,18.095051057961683,18.91669133591899,18.404405456797974,0.06417601853048734,2.257464259426822,1.5,-3.0,0.8216402779573091,0.0305,0.0873,0.1979,0.2733,0.233,0.1264,0.0516,0.9275,0.8822,0.8169,0.6843,0.5242,0.411,0.178,0.0516,9.266716717043373,13.644367082313266,18.404405456797974,23.178451049501398,27.493385148932678,18.417163546936056,7.08810485195775,16
CeeDee Lamb,16.96726362064075,18.087033296464533,18.142276950448235,0.016854210272310512,-0.3970845344485262,1.5,0.0,1.1197696758237843,0.0784,0.1109,0.1758,0.2144,0.1913,0.1265,0.1027,0.8653,0.8107,0.7484,0.6349,0.5073,0.4205,0.2292,0.1027,6.191597733381847,11.946953444757451,18.142276950448235,24.38124371896563,30.089266377417374,18.254508164380216,9.094347268558469,16
Jauan Jennings,15.312213352395036,16.090918860955195,17.593179271107516,-0.030745144763312915,-0.1905493466765268,1.0,0.0,0.7787055085601603,0.0763,0.1175,0.1884,0.23,0.1945,0.1187,0.0746,0.8607,0.8062,0.7353,0.6178,0.4798,0.3878,0.1933,0.0746,6.252547326471229,11.610829262675967,17.593179271107516,23.335268866744237,28.67388695356205,17.555376831773508,8.530823293539077,16
Chris Olave,11.817518115500832,17.00737952887521,16.7607627618356,0.30212409422495856,4.887737319149418,0.0,0.0,5.189861413374376,0.0925,0.1298,0.1992,0.222,0.1797,0.1085,0.0683,0.8401,0.7777,0.7053,0.5785,0.4457,0.3565,0.1768,0.0683,5.391291820498903,10.853527567300862,16.7607627618356,22.699895032612638,28.10833356544661,16.868465827765412,8.621387259270152,16
DJ Moore,15.911879073366592,16.96357581467332,16.68070334793668,-0.2199879073366592,0.2716846486433862,1.0,0.0,1.051696741306727,0.1047,0.1314,0.1927,0.2123,0.1745,0.1067,0.0777,0.8255,0.7639,0.6924,0.5712,0.443,0.3589,0.1844,0.0777,4.738420279155157,10.44498981140605,16.68070334793668,22.87860396379851,28.672059398084038,16.821325806612563,9.017445480776408,16
Drake London,16.646203401580728,15.766050850395185,16.63649762507128,0.11218982992096348,1.5076576188934936,1.5,-4.0,-0.8801525511855433,0.089,0.1325,0.2045,0.2252,0.1801,0.1042,0.0645,0.8428,0.7785,0.7035,0.574,0.4363,0.3488,0.1687,0.0645,5.546088081498477,10.834476536180325,16.63649762507128,22.399689628519088,27.869864414681746,16.7798494031234,8.511051616335568,16
Rashee Rice,11.90397638300271,11.63561909575068,16.07831985954006,0.28042618084986465,2.9512165318981056,1.5,-5.0,-0.2683572872520301,0.0586,0.1366,0.2437,0.2716,0.1843,0.0795,0.0257,0.8728,0.8048,0.7176,0.5611,0.3942,0.2895,0.1052,0.0257,6.910947274455221,11.320208149429138,16.07831985954006,20.86300196937332,25.188229473117094,16.11549734008778,7.043849527270606,15
Dalton Schultz,11.24207757950849,15.81190828376601,15.282612063897695,0.01928500991346436,3.050545694344057,1.5,0.0,4.569830704257521,0.1244,0.1538,0.2099,0.2201,0.1544,0.0884,0.049,0.7944,0.7218,0.6464,0.5119,0.377,0.2918,0.1374,0.049,3.8681914356624416,9.24897437647767,15.282612063897695,21.188593152888856,26.71546954950541,15.424250542871846,8.565878217224911,16
Wan'Dale Robinson,14.885416440861146,15.505166621505563,15.268038358720544,-0.24645831075278118,-0.6337915086028019,1.5,0.0,0.619750180644417,0.1429,0.152,0.1937,0.2028,0.1489,0.0944,0.0653,0.7733,0.7051,0.6337,0.5114,0.389,0.3086,0.1597,0.0653,2.7898597239946605,8.750622981249332,15.268038358720544,21.784112270892805,27.723153941436912,15.511221020519605,9.231553413978268,16
Nico Collins,13.795840838126288,14.738210209531575,14.84022437874416,0.1154579580936856,2.326911413311601,1.5,-3.0,0.9423693714052863,0.1272,0.1593,0.2215,0.2184,0.1539,0.0785,0.0412,0.7862,0.7135,0.6304,0.492,0.3566,0.2736,0.1197,0.0412,3.7665224831744766,9.084493166960794,14.84022437874416,20.60629513330335,26.00335448126347,15.012540771815841,8.344967062529065,16
