#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
64,Isiah Pacheco,RB,KC,15.8,16.1,-,-,-,BYE,-,-,-,-,-,-,5.9,8.1,5.7,3.5,1.8,-,8.1,56.9
65,Dare Ogunbowale,RB,HOU,1.3,4.3,4.8,15.4,14.7,0.8,0.6,0.4,-0.1,1.1,2.1,0,0,BYE,3.5,0,2.8,4.3,3.3,56
66,Emari Demercado,RB,ARI,4.6,4.6,0.7,3.4,1,11.4,1.4,0,16,2.2,BYE,1.4,2.5,5.5,-,-,-,-,4.2,54.7
67,Trey Sermon,RB,FA,0,1.7,7.6,0.8,18.3,2.9,5.9,2.4,2.3,1.4,1.3,0,0,-,3.2,2.5,2,1.5,3.2,53.8
68,Audric Estime,RB,FA,1.4,-,-,-,-,1.3,0.9,0.4,3.5,5.3,5.5,1.5,1.2,-,2.8,10.8,4.7,9.4,3.7,48.7
69,Christian McCaffrey,RB,SF,-,-,-,-,-,-,-,-,BYE,16.7,14.6,7.8,8.7,-,-,-,-,-,12,47.8
70,Trey Benson,RB,ARI,2.8,2.7,0.8,5,-,2.6,0,1,12.5,10.7,BYE,1.8,2,2.9,2.2,-,-,-,3.6,47
71,Isaiah Davis,RB,NYJ,-,-,0.6,-,0,0,1.2,0,0,2,0,BYE,12.2,15.7,3.6,1.2,5.3,4.1,3.3,45.9
72,Tyler Goodson,RB,IND,-,1.2,0,0,8.7,10.5,11.1,0,0,8.9,0,0,0,BYE,0.3,2.2,0,1.5,2.8,44.4
73,Dameon Pierce,RB,HOU,1.6,-,-,-,-,14.7,0.2,0.4,-,-,0.2,0,1.1,BYE,0,0.4,1.3,23.6,4,43.5
74,Chris Brooks,RB,GB,-,-,0.3,-,-,2.1,0,2.7,7.1,BYE,3.3,3.6,4.9,0.3,2.5,9.5,0,5.9,3.2,42.2
75,Cordarrelle Patterson,RB,FA,1.3,0.3,7.8,8.2,-,-,-,-,-,1.4,1,-0.2,8.3,-0.9,1.8,8.2,0.2,0.1,2.9,37.5
76,Jamaal Williams,RB,FA,12.1,3.9,0.9,3.9,0.9,0.7,1.7,0.4,-,-,-,-,1.7,3.5,0,0.8,3.4,3.2,2.7,37.1
77,D'Ernest Johnson,RB,FA,-,2.6,1.2,0,3,6.4,10,3.3,0.6,0,0.3,-,-,-,-,1.8,3.1,3.6,2.8,35.9
78,Michael Carter,RB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,9.8,10.1,15.9,9,35.8
79,Pierre Strong Jr.,RB,FA,5,1.5,-,-,0.2,9.8,2.5,1.3,0.8,-,0.5,-,0,2.9,0,2.9,7.8,-,2.7,35.2
80,Blake Corum,RB,LAR,0,2.8,-,-,4.3,BYE,1.1,2.8,-0.1,2.5,3.8,0.5,4.2,3.4,4,1.4,-0.4,3.2,2.2,33.5
81,Hassan Haskins,RB,LAC,-,1.1,-,0,BYE,0.5,0.2,0,0,6.4,0.1,0.3,-2,0,0,11.9,5,9.3,2.2,32.8
82,Kimani Vidal,RB,FA,-,-,-,-,-,13.1,2.9,1.6,0.7,-,-,-,2,3.4,4.2,2.4,2.4,0,3.3,32.7
83,D'Onta Foreman,RB,FA,0,6.1,0.5,1.7,7,6.7,0.5,2.6,-,-,-,-,-,-,-,-1.9,4.9,4.5,3,32.6
84,Chris Rodriguez Jr.,RB,WAS,0,-,-,-,-,-,-,-,5.2,0.4,-,-,15.4,BYE,0.2,0.5,9.8,0,3.9,31.5
84,Khalil Herbert,RB,FA,0.4,8.7,0.9,-,0,0,-,-,-,0,0,-,1.4,2.1,0.4,0,2.3,15.3,2.4,31.5
86,Patrick Taylor Jr.,RB,SF,-,-,-,0,0,3.8,-,0.9,BYE,-,-,-,-,8.5,0,3.5,0,13.1,3.3,29.8
87,Michael Burton,RB,DEN,1.3,1.1,0,1.3,1.5,0,0,3.8,-0.1,0,1,2.1,6.1,BYE,0,10.9,0,0.3,1.7,29.3
88,Zamir White,RB,LV,4.6,6.8,3.4,3,-,-,3.7,-0.1,7,BYE,0.9,-,-,-,-,-,-,-,3.7,29.3
89,Kendre Miller,RB,NO,0,-,-,-,-,-,5.7,1.6,-,-,-,BYE,-,9.2,4.6,5.1,2.9,-,4.2,29.1
90,JaMycal Hasty,RB,FA,0,0.2,0.5,1.5,0,3.1,15.7,-,0.7,3.4,0.2,3.5,0,-,0,-,0,-,2.1,28.8
91,Ty Chandler,RB,MIN,7.2,8.2,1.3,2.3,5.9,BYE,0.4,0,-,1.8,0,0,0.2,0,0.4,0,0.7,-,1.9,28.4
92,Sincere McCormick,RB,FA,-,-,-,-,-,-,-,-,-,-,-,3.3,8.5,10.9,4.5,-,-,-,6.8,27.2
93,Hunter Luepke,RB,DAL,3.8,0,6.1,4.2,3.4,0,BYE,0,2.9,0,-,2,0.4,1.5,0,0,1.1,1.5,1.7,26.9
94,Jaylen Wright,RB,MIA,-,0.4,1.7,3.2,8.6,BYE,3.3,1.8,1.8,0.3,1.6,0.8,0,3.3,0.3,-,0,-0.4,1.8,26.7
95,Alec Ingold,RB,MIA,0.8,0.2,4.4,0,6.3,BYE,1.4,5.2,0,-,-,0,3.5,0,0,0.4,0,4.1,1.8,26.3
96,Jordan Mims,RB,TEN,1.1,0,0,-,BYE,3.8,-,-,4.8,2.4,0.3,-,-,-,-,8.2,-,5.5,2.9,26.1
97,Carson Steele,RB,FA,0.3,0.4,8.4,-0.4,1.2,-,1.7,2.4,0.9,0.3,1.7,2.3,0,0,0,0,-,4.7,1.5,23.9
98,Kenny McIntosh,RB,SEA,-,0,1.1,0,-,-,0.5,-,-,BYE,0,0,0,6.5,0.9,3.9,4.6,4.9,1.9,22.4
99,DeeJay Dallas,RB,FA,6,0,0,0,0,0,0,0,0.2,1,-,0,-,0,1.5,7.1,1.5,3.7,1.3,21
100,Craig Reynolds,RB,DET,-,0,0,0,BYE,2.1,0,0.3,0,-,2.1,0.6,-,0,0,3.3,8.6,3.9,1.5,20.9
101,Ronnie Rivers,RB,FA,1.6,1,0.9,2.6,-,-,0,-,-,-,-,-,-,0,-,-,-,12.2,2.6,18.3
102,Eric Gray,RB,NYG,2.5,0,-2,0.1,6.4,1.3,1.9,1.3,0,0,BYE,2.6,0,-,0,1.2,0,2,1.1,17.3
103,Patrick Ricard,RB,BAL,0,0,0,6,0,0,0,0,7.3,0,1.5,0,0,BYE,0,0,0,2.4,1,17.2
