#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
75,Sterling Shepard,WR,TB,13,6.9,7.4,12,4,11.9,7.1,7.5,1.8,BYE,6.1,10.1,4.2,1.5,1.5,-,-,-,6.3,82
75,Greg Dortch,WR,ARI,12,0.8,2.1,2.8,7.9,3.2,9.9,2.5,BYE,0.9,6.2,18.6,16.8,3.4,-,-,-,-,6.3,75.1
77,Kendrick Bourne,WR,SF,15,-,6.2,7.8,2.7,24.2,19.2,3.4,7.4,5.4,2.9,0,0,0,BYE,3.7,5.7,3.5,6.1,92.1
78,Marvin Mims Jr.,WR,DEN,15,2.2,10.4,1.4,20.5,3.9,4.8,15.8,1.8,0,-,0.2,BYE,3.7,7.7,7.7,5.9,4,6,90
78,Tez Johnson,WR,TB,15,0,-,0,2.3,10.1,11.5,15.8,9.3,BYE,20.2,1.6,12.3,1.5,0,0,0.9,3.9,6,89.4
78,Xavier Legette,WR,CAR,14,4,0.8,-,-,11.1,3.1,24.2,3.7,3.2,0,18.3,5.2,1.1,BYE,5.9,2.2,1.3,6,84.1
78,KaVontae Turpin,WR,DAL,14,4.7,15.3,8.8,6.4,-,-,2.7,0.8,3.3,BYE,1,4.2,8.1,5,3.2,4.7,15.6,6,83.8
78,Hunter Renfrow,WR,CAR,6,3.1,23.8,2.6,3,1.7,1.7,-,-,-,-,-,-,-,BYE,-,-,-,6,35.9
83,Adonai Mitchell,WR,NYJ,15,4.1,4,0,10.6,0,-,1.8,0,1.7,-,2,6.2,24.2,3.4,17.4,7.3,5.2,5.9,87.9
84,Jalen Nailor,WR,MIN,16,3.8,6.1,6.7,9.2,7.2,BYE,5.7,0,2.6,23.4,2.6,0,0,6,19.5,0,0,5.8,92.8
84,Tyquan Thornton,WR,KC,14,6.1,13.9,18.1,8.1,12,0,4.9,0,0,BYE,7.1,0,0,3.9,6.7,-,-,5.8,80.8
86,DeMario Douglas,WR,NE,16,8.2,1.8,2.7,0,3.7,16.1,4.7,5.7,20,5.4,6.1,6.1,6.3,BYE,0.5,1.6,2,5.7,90.9
86,Olamide Zaccheaus,WR,CHI,15,8.2,4.1,6.6,9.1,BYE,4.8,2.9,10.3,17.8,1.5,0,1.6,3.9,8.7,0,5.3,-,5.7,84.8
86,Luke McCaffrey,WR,WAS,9,0,4.9,14.6,10.1,6,10.3,0,5.4,0,-,-,BYE,-,-,-,-,-,5.7,51.3
89,Darnell Mooney,WR,ATL,14,-,4,8.4,2.5,BYE,-,9.8,2.1,2.5,2.7,6.4,16.4,4.5,1.6,6.5,4.4,5.5,5.5,77.3
89,Calvin Austin III,WR,PIT,13,17,3.2,12.4,3.3,BYE,-,-,6.8,10.6,3.4,1.5,7.6,0,4.1,0,1.8,-,5.5,71.7
91,Andrei Iosivas,WR,CIN,16,0,2.2,0,3.7,13.2,1.5,7.9,0,18,BYE,5,10.6,9.9,3.7,0,3.1,8.1,5.4,86.9
91,Dontayvion Wicks,WR,GB,14,5,8.4,4.1,3.9,BYE,3.5,1.5,-,-,7.8,1.9,5.2,28,0,1.6,3.2,1.7,5.4,75.8
93,Xavier Hutchinson,WR,HOU,16,5.5,4.9,4.6,3.7,16.8,BYE,2.3,17.9,6,0,7.2,0.9,5.9,0,2.6,1.4,4.9,5.3,84.6
94,Matthew Golden,WR,GB,13,3.6,1.5,10.1,11.3,BYE,13.2,7.7,3.4,2.9,-,3.4,-,-,0,8.5,0.4,2.2,5.2,68.2
95,Devaughn Vele,WR,NO,13,2.3,7.3,-,0,3.3,0,0,2,0,2.5,BYE,6.7,23.3,7,11.9,-,-,5.1,66.3
96,Pat Bryant,WR,DEN,14,0,3.8,0,0,0,4.2,1.6,12,4,5.3,13.2,BYE,7.2,7.2,-,9.2,-,4.8,67.7
96,Christian Kirk,WR,HOU,12,-,-,5.5,5,10.4,BYE,-,-,6.6,1.3,1.6,16.4,0,1.6,0,6.7,2.1,4.8,57.2
98,Cedric Tillman,WR,CLE,12,16.2,10.2,5.6,1.6,-,-,-,-,BYE,3.1,8.2,1.5,0,3.3,0,1.8,5.2,4.7,56.7
98,Joshua Palmer,WR,BUF,11,11.1,6.7,1.5,4.5,5.6,8,BYE,-,-,-,3.7,4.1,-,-,2.6,1.2,2.2,4.7,51.2
100,Isaac TeSlaa,WR,DET,16,8.3,3.9,0,0,8.2,0,0,BYE,0,2.1,0,0,11.5,10,0,15.2,13.9,4.6,73.1
100,Isaiah Hodgins,WR,NYG,6,-,-,-,-,-,-,-,-,-,-,10.7,12.2,1.4,BYE,1.4,0,1.8,4.6,27.5
100,Josh Reynolds,WR,NYJ,5,3.8,-,-,0,7.9,5.5,5.9,-,BYE,-,-,-,-,-,-,-,-,4.6,23.1
103,Tyler Lockett,WR,LV,16,0,2.9,7.7,0,7.6,1,3.8,BYE,0,9.4,6.3,10.2,2.1,7.1,3,1.6,8.9,4.5,71.6
103,John Metchie III,WR,NYJ,15,0,1,1.8,3,0,0,-,0,BYE,0.6,13.5,18.5,5.7,7.4,6.9,1.4,7.1,4.5,66.9
