#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
27,Rhamondre Stevenson,RB,NE,14.9,15,7.2,6,2.4,18,14.5,7,22.9,13.2,BYE,21.7,2.9,-,-,-,-,-,12.1,145.7
29,J.K. Dobbins,RB,DEN,11.7,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,11.7,11.7
30,Jaylen Warren,RB,PIT,6.8,12.6,8.2,11.5,10.9,BYE,10.1,7.8,14.3,19,23.5,7.2,6.5,8,11.8,10.4,19.8,8,11.6,196.4
30,Nick Chubb,RB,HOU,16.7,6.4,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,11.6,23.1
32,Najee Harris,RB,LAC,5.3,5.3,6.5,11.3,5,-,15.8,10.5,15.6,18.6,4.6,15.9,9.7,7.8,1.3,13.8,24.2,24.3,11.5,195.5
33,Javonte Williams,RB,DAL,9.7,7.8,8.5,3.9,-,7.2,12.6,18.8,-,21,7.3,10.1,10,18.1,4,10.9,8.8,20.5,11.2,179.2
34,Gus Edwards,RB,FA,5.2,12.2,5.1,6.9,4.8,6.3,21.4,29.4,17.2,9.8,21,4.7,-,1.5,13.9,14,10.8,2.8,11,187
35,Darrell Henderson Jr.,RB,FA,-,-,-,-,-,-,13.6,11.5,5.5,-,12.9,-,-,-,-,-,-,-,10.9,43.5
36,Chuba Hubbard,RB,CAR,8.9,10,2.4,7.3,4.5,16,BYE,7.4,10.7,5.9,8.5,20.2,22.4,11.6,12.3,12.1,11.1,11.2,10.7,182.5
37,Ezekiel Elliott,RB,FA,7.3,1.3,9.7,4.2,7.8,11.9,9.1,3.6,6.2,10.8,-,7.2,13.2,27,9.6,21,11.5,13.1,10.3,174.5
38,D'Onta Foreman,RB,FA,4.4,-,-,-,-,7.7,33,4.6,8.3,17.2,7.4,-,-,9.2,-0.6,-,-,-,10.1,91.2
39,Keaton Mitchell,RB,BAL,-,-,-,-,-,-,1.9,-,20.4,13.6,5.1,10.9,BYE,7.2,10.8,-,-,-,10,69.9
40,Devin Singletary,RB,NYG,1.5,3.4,6.5,8.8,0,7.2,-,6.3,4.6,23.1,19.8,13.2,5,12.5,21,9.3,11.6,13.5,9.8,167.3
41,Khalil Herbert,RB,FA,11.4,6.8,3.5,22.2,7.6,-,-,-,-,-,6.1,5.8,-,0.8,2.2,19.1,20.9,6.1,9.4,112.5
42,Tyjae Spears,RB,TEN,3.8,7.5,4.9,8.8,16.9,7.3,BYE,6.6,6.2,10,4.6,1.7,12.8,17.8,4.7,11.7,6.9,21.6,9,153.8
43,Alexander Mattison,RB,MIA,13.4,4.9,17.5,10.8,12.6,11.2,6.2,4.3,17.3,4.3,7,8.3,-,6.6,-,-0.1,5,3.9,8.3,133.2
44,Tyler Allgeier,RB,ATL,24.4,4.8,4.9,2.2,6,5.1,14.2,3.1,11,4.8,BYE,6.4,2.6,4,6.1,15.8,15.8,6.4,8.1,137.6
45,Antonio Gibson,RB,NE,0.9,8.3,3.4,3.6,10.4,8.6,5.1,9.2,12.6,16.5,BYE,6.7,11.2,-,8.5,10.2,5.6,6.6,8,127.4
46,Kareem Hunt,RB,KC,-,-,5.5,1.2,-,16.1,15.1,13.7,9.8,9.2,6.7,2.2,5.8,10,3,9.6,9.1,1.5,7.9,118.5
47,A.J. Dillon,RB,PHI,5.6,7.3,3.3,1.1,13.6,-,11.5,10.2,5.3,9.1,10.1,11.1,9.7,9.8,-,7.2,2.7,-,7.8,117.6
48,Samaje Perine,RB,CIN,11.8,5.4,4.4,5.5,11.5,1.6,7.1,4.1,-,7.3,13.7,13.6,2.6,9.4,5.8,6.9,4.6,6,7.1,121.3
49,Jerick McKinnon,RB,FA,2,5.2,17.8,0.7,4.5,5,4.6,1.8,10.4,-,3.5,-,-,12.7,16.2,-,-,-,7,84.4
50,Justice Hill,RB,BAL,12.9,8.3,-,3.3,12.5,6.5,5.8,9.5,4,0.7,1.7,3.1,BYE,2.2,2.3,8.7,22.2,5.6,6.8,109.3
