#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,AVG,TTL
85,Antonio Gibson,RB,NE,5,0.3,9.8,0.8,8.7,3.6,-,-,-,-,-,-,-,-,BYE,-,-,4.6,23.2
57,Isaiah Davis,RB,NYJ,15,1.8,1.6,0,4.7,6.3,1.1,5.2,17.9,BYE,2.1,1.1,0.7,0,2.2,13.5,10,4.5,68.2
64,Keaton Mitchell,RB,BAL,11,-,-,-,-,2.3,0,BYE,4.3,2.8,3.1,7.4,2.9,11.1,7.6,6.6,1.3,4.5,49.4
58,Jeremy McNichols,RB,WAS,15,2.5,0,13.8,1.3,2.8,6.5,6.5,11.8,0,3.9,4.9,BYE,5,1.2,1.2,5.2,4.4,66.6
96,Austin Ekeler,RB,WAS,3,8.7,4.4,-,-,-,-,-,-,0,-,-,BYE,-,-,-,-,4.4,13.1
65,Emari Demercado,RB,ARI,11,0,0,0,10.1,6.1,0.1,-,BYE,8.8,13.4,4,-,-,-,2.1,3,4.3,47.6
69,Jaylen Wright,RB,MIA,9,-,-,-,-,-,-,0,3.8,0,1.7,0.4,BYE,1.6,16.7,2.1,12.3,4.3,38.6
70,Zavier Scott,RB,MIN,9,-,-,6,16.4,-0.2,BYE,1.6,4.4,0,-,-,-,3.1,3,-,2.2,4.1,36.5
99,Raheim Sanders,RB,CLE,3,6.3,-,-,-,-,-,-,-,BYE,-,-,0,-,-,-,5.6,4,11.9
62,Brian Robinson Jr.,RB,SF,15,4.7,2.9,2.2,2.1,1.2,3.8,3.6,0,11.3,11.5,2.4,5.4,2.6,BYE,2.1,2,3.9,57.8
101,Najee Harris,RB,LAC,3,2,6.8,2.8,-,-,-,-,-,-,-,-,BYE,-,-,-,-,3.9,11.6
93,Braelon Allen,RB,NYJ,4,6.9,1.1,6.7,0.6,-,-,-,-,BYE,-,-,-,-,-,-,-,3.8,15.3
109,Cam Akers,RB,SEA,2,-,-,1.9,-,5.3,-,-,BYE,-,-,-,-,-,-,-,-,3.6,7.2
63,Ollie Gordon II,RB,MIA,15,1.3,2.3,9.8,1,-0.2,1.2,2.3,13.6,1.9,-0.3,10.5,BYE,1,7.7,0,-0.1,3.5,52
68,Jerome Ford,RB,CLE,13,1.5,10.4,5,1.3,5.8,8,3,0.9,BYE,0.1,0.2,-0.3,4.7,3,-,-,3.4,43.6
77,Malik Davis,RB,DAL,9,-,-,-,-,-,-,0,0.3,0.3,BYE,2,2.4,10.7,0.6,11.7,2.3,3.4,30.3
89,Jaleel McLaughlin,RB,DEN,6,-,-,-,-,-,0,-,-,-,-,8.4,BYE,4,4.1,0.4,3.7,3.4,20.6
66,Kyle Juszczyk,RB,SF,15,5.2,1.5,7.1,6.2,5,1.9,1.8,1.4,2.2,2.8,4.6,0,4.7,BYE,1.7,0,3.1,46.1
67,Brashard Smith,RB,KC,15,0,0.2,1.3,6.6,6.6,5.1,13.1,0.8,0.7,BYE,2.8,6.6,0,0.7,0.1,1.4,3.1,46
91,Audric Estime,RB,NO,5,-,-,-,-,-,-,-,-,-,0,BYE,-,0,1.1,8,6.6,3.1,15.7
78,Ameer Abdullah,RB,IND,11,-,-,-,-,6.6,2.6,3.7,1.8,1.5,1.8,BYE,0,0,2.9,9.7,-0.6,2.7,30
96,Trayveon Williams,RB,CLE,5,-,-,-,-,-,-,-,-,BYE,0,0.9,-,-,0,2.7,9.5,2.6,13.1
73,Tank Bigsby,RB,PHI,14,1.2,-,0,0,0,0,2,10.4,BYE,0.7,3.4,0.8,0,0.4,5.7,9.7,2.5,34.3
79,Raheem Mostert,RB,LV,12,-,-,-,8.3,2.2,-0.4,1.2,BYE,2.4,2.5,3.3,5,0.6,1.2,1.2,1.9,2.5,29.4
94,Terrell Jennings,RB,NE,6,-,-,-,-,-,-,1.8,1.5,11.4,0.5,-,0,0,BYE,-,-,2.5,15.2
108,Zamir White,RB,LV,3,0.8,3.3,3.3,-,-,-,-,BYE,-,-,-,-,-,-,-,-,2.5,7.4
71,Ray Davis,RB,BUF,15,1.1,2.4,0,0.3,0.1,9.9,BYE,1.6,0,0.8,0,6,6.2,0,2.3,5.4,2.4,36.1
76,Tyler Badie,RB,DEN,14,3.6,4.2,0,2.1,2.6,-,3.9,0.6,2.6,0,1,BYE,4.8,3.1,1.1,1.2,2.2,30.8
115,Corey Kiner,RB,ARI,2,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,1.1,3.2,2.2,4.3
88,George Holani,RB,SEA,10,0,6,4.2,0,0,0,0,BYE,0.9,9.1,0.6,-,-,-,-,-,2.1,20.8
116,Clyde Edwards-Helaire,RB,KC,2,-,-,-,-,-,-,-,-,0.5,BYE,-,3.7,-,-,-,-,2.1,4.2
105,Jaydon Blue,RB,DAL,4,-,-,-,-,0.7,0,4.4,2.9,-,BYE,-,-,-,-,-,-,2,8
122,Jacardia Wright,RB,SEA,1,-,-,2,-,-,-,-,BYE,-,-,-,-,-,-,-,-,2,2
80,Hunter Luepke,RB,DAL,15,0,0,0,0.6,2,8.7,1.3,0.2,0,BYE,7.1,1.7,0,0,5,2.4,1.9,29
83,LeQuint Allen Jr.,RB,JAC,15,2.1,1.3,1.9,1.7,0,2.2,1.4,BYE,2.1,1.6,3.6,0.2,0,2.8,2.6,1,1.6,24.5
83,Chris Brooks,RB,GB,15,1.3,5.7,0,1.1,BYE,0.1,0,0,4.4,0,0.8,3.6,2.9,1.6,2.6,0.4,1.6,24.5
87,Rasheen Ali,RB,BAL,13,0.5,0,0,0,0,0,BYE,0,0,-,2.5,-,1.7,3.3,11.2,2.2,1.6,21.4
86,Dare Ogunbowale,RB,HOU,15,2.6,0,0,0,0,BYE,0,2.7,1.2,0,1.9,0,0,6.5,6.4,0.9,1.5,22.2
107,A.J. Dillon,RB,PHI,6,1,1.9,0,1.7,1.2,2,-,-,BYE,-,-,-,-,-,-,-,1.3,7.8
113,Evan Hull,RB,NO,4,-,-,-,-,-,-,-,-,-,-,BYE,-,1.5,2,1.2,0.3,1.3,5
118,Nathan Carter,RB,ATL,3,-,0,2.6,-,BYE,-,-,1.4,-,-,-,-,-,-,-,-,1.3,4
95,Will Shipley,RB,PHI,13,2.6,-,-,0,1.4,0,1.7,0.2,BYE,5.4,0,0,2.1,1.3,0,-0.7,1.1,14
92,Adam Prentice,RB,DEN,15,1.4,0,0,0.4,0.8,0.3,0,0,0.2,2.3,2.4,BYE,2.4,5.3,-0.1,0,1,15.4
98,Alec Ingold,RB,MIA,15,1.1,3.3,0,0,0,3.5,0,1,0,0.6,0,BYE,0,0,1.4,1.9,0.9,12.8
